long	lat
-83.75719444	12.62921389
-83.75719444	12.62921389
-83.75719444	12.62921389
-83.75719444	12.62921389
-72.89309444	11.557775
-72.89135	11.55876389
-74.49376667	10.96151389
-74.60746111	10.80893889
-74.48135833	10.86188889
-74.93802778	10.90711111
-74.12838611	11.31778333
-75.24675	10.69519444
-75.21383333	10.799
-75.20377778	10.81727778
-75.02641667	10.94752778
-74.97841667	10.97861111
-74.90783333	11.04088889
-74.87508333	11.04722222
-74.87013889	11.0455
-74.84863889	11.03886111
-74.84227778	11.05958333
-75.66525	10.15938889
-75.83779	9.35663
-75.82837	9.36055
-75.84226	9.35249
-75.85052	9.37119
-75.79115	9.38743
-75.85628	9.38203
-75.85883	9.38107
-75.80288	9.39064
-75.83974	9.38225
-75.87213	9.41551
-75.82663	9.36734
-75.86388	9.39613
-75.83837	9.39701
-75.79144	9.38443
-75.84351	9.36793
-75.84638	9.34066
-75.84466	9.3954
-75.85398	9.36903
-75.84393	9.37841
-75.82757	9.41828
-75.588471	9.42212
-75.8548	9.35569
-77.10053056	8.050766667
-76.74069444	7.959202778
-76.74784722	8.111113889
-76.74784722	8.111113889
-76.929225	8.545830556
-76.929225	8.545830556
-76.929225	8.545830556
-77.24141944	5.782527778
-77.42472222	4.052888889
-77.25944444	4.094388889
-77.06689444	3.914761111
-77.06688889	3.851583333
-77.10669444	3.807722222
-77.16902778	3.621861111
-77.13091667	3.664944444
-77.18177778	3.693222222
-77.36269444	3.385388889
-77.36269444	3.385388889
-77.38194444	3.383138889
-77.45654722	3.227183333
-77.21480556	4.067805556
-77.2055	4.084166667
-77.20513889	4.087388889
-77.19269444	4.050611111
-77.26780556	4.0805
-77.26597222	4.054305556
-77.25227778	4.106888889
-77.27141667	4.103472222
-77.30102778	4.042
-77.26797222	3.987138889
-77.63269444	2.935694444
-77.61095278	2.899677778
-77.66171111	2.923177778
-77.64644722	2.865983333
-77.69722778	2.826316667
-77.69968889	2.809747222
-77.73580833	2.749316667
-77.73432778	2.804194444
-77.73594167	2.798702778
-77.73594167	2.715369444
-77.76917222	2.750238889
-77.73039444	2.734116667
